xYear,xMonth,State,County,Age_Group,rundatetime,PatCount_Opioid,Population
2025,1,CA,Mariposa,=< 14 yrs,07SEP2025:04:03:55,1,"16,005"
2025,1,CA,Mendocino,=< 14 yrs,07SEP2025:04:03:55,10,"86,841"
2025,1,CA,Merced,=< 14 yrs,07SEP2025:04:03:55,30,"269,998"
2025,1,CA,Modoc,=< 14 yrs,07SEP2025:04:03:55,1,"7,849"
2025,1,CA,Mono,=< 14 yrs,07SEP2025:04:03:55,3,"12,753"
2025,1,CA,Monterey,=< 14 yrs,07SEP2025:04:03:55,46,"419,825"
2025,1,CA,Napa,=< 14 yrs,07SEP2025:04:03:55,21,"140,274"
2025,1,CA,Nevada,=< 14 yrs,07SEP2025:04:03:55,20,"96,666"
2025,1,CA,Orange,=< 14 yrs,07SEP2025:04:03:55,207,"3,175,209"
2025,1,CA,Placer,=< 14 yrs,07SEP2025:04:03:55,56,"388,469"
2025,1,CA,Plumas,=< 14 yrs,07SEP2025:04:03:55,0,"17,201"
2025,1,CA,Riverside,=< 14 yrs,07SEP2025:04:03:55,229,"2,413,438"
2025,1,CA,Sacramento,=< 14 yrs,07SEP2025:04:03:55,146,"1,526,256"
2025,1,CA,San Benito,=< 14 yrs,07SEP2025:04:03:55,4,"58,830"
2025,1,CA,San Bernardino,=< 14 yrs,07SEP2025:04:03:55,160,"2,145,184"
2025,1,CA,San Diego,=< 14 yrs,07SEP2025:04:03:55,242,"3,310,766"
2025,1,CA,San Francisco,=< 14 yrs,07SEP2025:04:03:55,47,"874,961"
2025,1,CA,San Joaquin,=< 14 yrs,07SEP2025:04:03:55,75,"741,463"
2025,1,CA,San Luis Obispo,=< 14 yrs,07SEP2025:04:03:55,50,"280,493"
2025,1,CA,San Mateo,=< 14 yrs,07SEP2025:04:03:55,55,"737,926"
2025,1,CA,Santa Barbara,=< 14 yrs,07SEP2025:04:03:55,55,"445,342"
2025,1,CA,Santa Clara,=< 14 yrs,07SEP2025:04:03:55,142,"1,952,377"
